timestamp,x_m,y_m,yaw_deg
1787490184.444216,1.4045,1.07482,0.0
1787490184.525447,1.4141,1.09266,0.0
1787490184.6262724,1.42253,1.10601,0.0
1787490184.746696,1.4275,1.11632,0.0
1787490184.8455524,1.4242,1.11211,0.0
1787490184.9458227,1.41878,1.10382,0.0
1787490185.0460472,1.4226,1.09758,0.0
1787490185.145331,1.42299,1.10459,0.0
1787490185.24557,1.42405,1.10563,0.0
1787490185.3466003,1.4233,1.10729,0.0
1787490185.4457183,1.42362,1.10705,0.0
1787490185.5460315,1.42407,1.10667,0.0
1787490185.6462111,1.42364,1.10658,0.0
1787490185.7453947,1.4239,1.10749,0.0
1787490185.8462844,1.42449,1.10754,0.0
1787490185.946791,1.42482,1.10687,0.0
1787490186.0480797,1.42427,1.10651,0.0
1787490186.1465561,1.42429,1.10666,0.0
1787490186.2458034,1.42459,1.10731,0.0
1787490186.345995,1.42501,1.10757,0.0
1787490186.445849,1.42453,1.10753,0.0
1787490186.5458565,1.42475,1.10675,0.0
1787490186.6464689,1.42832,1.1052,0.0
1787490186.7659376,1.4438,1.09821,0.0
1787490186.8661366,1.47102,1.08495,0.0
1787490186.9651432,1.49795,1.07006,0.0
1787490187.066954,1.51637,1.05861,0.0
1787490187.1657257,1.53106,1.04737,0.0
1787490187.2649379,1.55012,1.0327,0.0
1787490187.3679326,1.57374,1.01511,0.0
1787490187.4649987,1.59608,0.99837,0.0
1787490187.5668511,1.61529,0.98355,0.0
1787490187.6667209,1.63295,0.96849,0.0
1787490187.7665203,1.65229,0.95191,0.0
1787490187.865674,1.67189,0.93564,0.0
1787490187.9674819,1.68938,0.92198,0.0
1787490188.0658448,1.70359,0.91014,0.0
1787490188.167687,1.71596,0.90071,0.0
1787490188.2861013,1.73235,0.89012,0.0
1787490188.3851266,1.73545,0.88969,0.0
1787490188.484929,1.72868,0.89565,0.0
1787490188.5877678,1.72438,0.89632,0.0
1787490188.686228,1.73026,0.88471,0.0
1787490188.7863817,1.74381,0.87402,0.0
1787490188.8857028,1.74557,0.87593,0.0
1787490188.9862669,1.74024,0.88389,0.0
1787490189.085582,1.7357,0.88657,0.0
1787490189.1852179,1.73687,0.88171,0.0
1787490189.310024,1.74093,0.87707,0.0
1787490189.4258947,1.74171,0.87854,0.0
1787490189.524981,1.7392,0.88307,0.0
1787490189.6249797,1.738,0.88435,0.0
1787490189.726241,1.73779,0.88143,0.0
1787490189.826671,1.73903,0.87897,0.0
1787490189.9272506,1.73858,0.87954,0.0
1787490190.0267842,1.73799,0.88141,0.0
1787490190.1275773,1.73375,0.87814,0.0
1787490190.2269166,1.72829,0.8615,0.0
1787490190.326845,1.71924,0.83258,0.0
1787490190.4262786,1.71043,0.80535,0.0
1787490190.5256972,1.70482,0.78509,0.0
1787490190.6271253,1.70131,0.77533,0.0
1787490190.7268786,1.6961,0.76149,0.0
1787490190.8262613,1.691,0.74702,0.0
1787490190.9265132,1.68554,0.73542,0.0
1787490191.0264614,1.68314,0.72653,0.0
1787490191.126756,1.68201,0.72742,0.0
1787490191.2265637,1.68195,0.73205,0.0
1787490191.3468378,1.67438,0.72097,0.0
1787490191.4472253,1.65623,0.69591,0.0
1787490191.5480258,1.6359,0.66801,0.0
1787490191.646908,1.61894,0.64645,0.0
1787490191.7472622,1.60493,0.62958,0.0
1787490191.8472843,1.59032,0.61207,0.0
1787490191.9463813,1.5749,0.59344,0.0
1787490192.0474958,1.56005,0.57555,0.0
1787490192.1463869,1.54693,0.56099,0.0
1787490192.2465036,1.53758,0.54909,0.0
1787490192.3466253,1.52918,0.53804,0.0
1787490192.446799,1.52416,0.52879,0.0
1787490192.5474904,1.5243,0.52634,0.0
1787490192.6677208,1.52979,0.53101,0.0
1787490192.7669022,1.53235,0.53576,0.0
1787490192.8667705,1.5253,0.53343,0.0
1787490192.9665618,1.50129,0.51889,0.0
1787490193.0660596,1.46589,0.49557,0.0
1787490193.1668673,1.43281,0.47315,0.0
1787490193.2668176,1.40145,0.45075,0.0
1787490193.3872943,1.38725,0.43835,0.0
1787490193.4871318,1.38625,0.43747,0.0
1787490193.5872722,1.39598,0.44197,0.0
1787490193.6873484,1.40201,0.44593,0.0
1787490193.786612,1.38767,0.44763,0.0
1787490193.887191,1.34952,0.43753,0.0
1787490193.987625,1.30735,0.42543,0.0
1787490194.0872908,1.27286,0.41555,0.0
1787490194.214856,1.24943,0.4084,0.0
1787490194.3071187,1.22732,0.40274,0.0
1787490194.4069169,1.19802,0.39381,0.0
1787490194.5069566,1.16501,0.38258,0.0
1787490194.608514,1.13493,0.37134,0.0
1787490194.7113194,1.10977,0.3618,0.0
1787490194.82641,1.07057,0.34617,0.0
1787490194.9281585,1.04064,0.33393,0.0
1787490195.0282967,1.01182,0.32142,0.0
1787490195.125765,0.98586,0.30939,0.0
1787490195.2467577,0.95997,0.29801,0.0
1787490195.3472407,0.93263,0.28546,0.0
1787490195.446433,0.90468,0.27136,0.0
1787490195.5474484,0.87799,0.2573,0.0
1787490195.6676393,0.85254,0.24377,0.0
1787490195.7669423,0.82711,0.22783,0.0
1787490195.8669043,0.79988,0.21397,0.0
1787490195.9661982,0.77181,0.20108,0.0
1787490196.0662735,0.74436,0.19014,0.0
1787490196.1667984,0.71625,0.18129,0.0
1787490196.2672343,0.67262,0.16986,0.0
1787490196.3660889,0.64277,0.16345,0.0
1787490196.4665952,0.61304,0.15868,0.0
1787490196.566643,0.58307,0.15594,0.0
1787490196.6898267,0.55313,0.15488,0.0
1787490196.7863204,0.52305,0.15393,0.0
1787490196.8871377,0.49767,0.15795,0.0
1787490197.0074177,0.49564,0.15758,0.0
1787490197.1079102,0.5057,0.15898,0.0
1787490197.208644,0.51488,0.1602,0.0
1787490197.3064444,0.50336,0.15236,0.0
1787490197.4083679,0.46669,0.13955,0.0
1787490197.5069163,0.42535,0.12604,0.0
1787490197.6073332,0.3889,0.1142,0.0
1787490197.7273092,0.36391,0.10552,0.0
1787490197.8272414,0.32882,0.09586,0.0
1787490197.9280171,0.3091,0.09229,0.0
1787490198.0277739,0.31365,0.09371,0.0
1787490198.1277485,0.31021,0.08888,0.0
1787490198.2479131,0.28045,0.07132,0.0
1787490198.3677044,0.24406,0.05226,0.0
1787490198.445915,0.21495,0.03669,0.0
1787490198.5458744,0.19831,0.02836,0.0
1787490198.64624,0.18742,0.02317,0.0
1787490198.7456212,0.1734,0.01527,0.0
1787490198.8471274,0.15621,0.00585,0.0
1787490198.9462476,0.14282,-0.00154,0.0
1787490199.046393,0.13767,-0.00311,0.0
